Flow ID,Flow,HS4 4 Digit ID,HS4 4 Digit,Date Year,State ID,State,Chapter 4 Digit ID,Chapter 4 Digit,Trade Value
2,Exports,21108,Starches; Inulin,2021,9,Ciudad de México,2,Vegetable Products,580396
2,Exports,21108,Starches; Inulin,2021,14,Jalisco,2,Vegetable Products,45481624
2,Exports,21108,Starches; Inulin,2021,19,Nuevo León,2,Vegetable Products,682276
2,Exports,21202,"Peanuts (Groundnuts), not Roasted or otherwise Cooked, Shelled or Crushed",2021,14,Jalisco,2,Vegetable Products,2916703
2,Exports,21202,"Peanuts (Groundnuts), not Roasted or otherwise Cooked, Shelled or Crushed",2021,19,Nuevo León,2,Vegetable Products,650838
2,Exports,21207,"Other Oil Seeds and Oleaginous Fruits, whole or Broken",2021,9,Ciudad de México,2,Vegetable Products,3366819
2,Exports,21207,"Other Oil Seeds and Oleaginous Fruits, whole or Broken",2021,14,Jalisco,2,Vegetable Products,28146873
2,Exports,21207,"Other Oil Seeds and Oleaginous Fruits, whole or Broken",2021,19,Nuevo León,2,Vegetable Products,22108
2,Exports,21208,"Flour Seeds or Oleaginous Fruits, except those of Mustard",2021,9,Ciudad de México,2,Vegetable Products,6336
2,Exports,21208,"Flour Seeds or Oleaginous Fruits, except those of Mustard",2021,14,Jalisco,2,Vegetable Products,153061
2,Exports,21208,"Flour Seeds or Oleaginous Fruits, except those of Mustard",2021,19,Nuevo León,2,Vegetable Products,36684
2,Exports,21209,"Seeds, Fruits and Spores for Sowing",2021,9,Ciudad de México,2,Vegetable Products,14348762
2,Exports,21209,"Seeds, Fruits and Spores for Sowing",2021,14,Jalisco,2,Vegetable Products,2054023
2,Exports,21209,"Seeds, Fruits and Spores for Sowing",2021,26,Sonora,2,Vegetable Products,11335
2,Exports,21211,"Plants and Parts of Plants, Seeds and Fruits of a Kind Used Primarily in Perfumery, in Pharmacy or for Uses Insecticides, Fungicidal or Similar Purposes, Fresh or Dried, whether or not Cut, Crushed or Powdered",2021,9,Ciudad de México,2,Vegetable Products,13169329
